ST Mokslo metai	ST Institucijos savivaldybės ID	ST Institucijos savivaldybė	ST Institucijos tipo ID	ST Institucijos tipas	ST Institucijos kodas	ST Institucijos pavadinimas	ST Studijų sritis	ST Mokslo sritis kodas	ST Mokslo sritis	ST Studijų pakopa ID	ST Studijų pakopa	ST Priimtųjų skaičius
2012-2013	2	Alytaus m. sav.	3911	Kolegija	111965327	Alytaus kolegija	Socialinių mokslų studijų sritis			11	Pirmosios pakopos studijos	131
2012-2013	2	Alytaus m. sav.	3911	Kolegija	111965327	Alytaus kolegija	Technologijos mokslų studijų sritis			11	Pirmosios pakopos studijos	158
2012-2013	43	Kauno m. sav.	3911	Kolegija	111965284	Kauno kolegija	Biomedicinos mokslų studijų sritis			11	Pirmosios pakopos studijos	566
2012-2013	43	Kauno m. sav.	3911	Kolegija	111965284	Kauno kolegija	Humanitarinių mokslų studijų sritis			11	Pirmosios pakopos studijos	18
2012-2013	43	Kauno m. sav.	3911	Kolegija	111965284	Kauno kolegija	Meno studijų sritis			11	Pirmosios pakopos studijos	91
2012-2013	43	Kauno m. sav.	3911	Kolegija	111965284	Kauno kolegija	Socialinių mokslų studijų sritis			11	Pirmosios pakopos studijos	1020
2012-2013	43	Kauno m. sav.	3911	Kolegija	111965284	Kauno kolegija	Technologijos mokslų studijų sritis			11	Pirmosios pakopos studijos	615
2012-2013	43	Kauno m. sav.	3911	Kolegija	111967869	Kauno technikos kolegija	Technologijos mokslų studijų sritis			11	Pirmosios pakopos studijos	531
2012-2013	43	Kauno m. sav.	3911	Kolegija	111965512	V. A. Graičiūno aukštoji vadybos mokykla	Socialinių mokslų studijų sritis			11	Pirmosios pakopos studijos	108
2012-2013	43	Kauno m. sav.	3911	Kolegija	193038291	Viešoji įstaiga Kolpingo kolegija	Humanitarinių mokslų studijų sritis			11	Pirmosios pakopos studijos	12
2012-2013	43	Kauno m. sav.	3911	Kolegija	193038291	Viešoji įstaiga Kolpingo kolegija	Socialinių mokslų studijų sritis			11	Pirmosios pakopos studijos	93
2012-2013	43	Kauno m. sav.	3912	Universitetas	111950581	Kauno technologijos universitetas	Fizinių mokslų studijų sritis			11	Pirmosios pakopos studijos	274
2012-2013	43	Kauno m. sav.	3912	Universitetas	111950581	Kauno technologijos universitetas	Humanitarinių mokslų studijų sritis			11	Pirmosios pakopos studijos	73
2012-2013	43	Kauno m. sav.	3912	Universitetas	111950581	Kauno technologijos universitetas	Meno studijų sritis			11	Pirmosios pakopos studijos	50
2012-2013	43	Kauno m. sav.	3912	Universitetas	111950581	Kauno technologijos universitetas	Socialinių mokslų studijų sritis			11	Pirmosios pakopos studijos	603
2012-2013	43	Kauno m. sav.	3912	Universitetas	111950581	Kauno technologijos universitetas	Technologijos mokslų studijų sritis			11	Pirmosios pakopos studijos	1025
2012-2013	43	Kauno m. sav.	3912	Universitetas	111950581	Kauno technologijos universitetas	Biomedicinos mokslų studijų sritis			12	Antrosios pakopos studijos	6
2012-2013	43	Kauno m. sav.	3912	Universitetas	111950581	Kauno technologijos universitetas	Fizinių mokslų studijų sritis			12	Antrosios pakopos studijos	89
2012-2013	43	Kauno m. sav.	3912	Universitetas	111950581	Kauno technologijos universitetas	Humanitarinių mokslų studijų sritis			12	Antrosios pakopos studijos	14
2012-2013	43	Kauno m. sav.	3912	Universitetas	111950581	Kauno technologijos universitetas	Meno studijų sritis			12	Antrosios pakopos studijos	14
2012-2013	43	Kauno m. sav.	3912	Universitetas	111950581	Kauno technologijos universitetas	Socialinių mokslų studijų sritis			12	Antrosios pakopos studijos	506
2012-2013	43	Kauno m. sav.	3912	Universitetas	111950581	Kauno technologijos universitetas	Technologijos mokslų studijų sritis			12	Antrosios pakopos studijos	597
2012-2013	43	Kauno m. sav.	3912	Universitetas	111950581	Kauno technologijos universitetas		P000	Fiziniai mokslai	14	Trečiosios pakopos studijos	9
2012-2013	43	Kauno m. sav.	3912	Universitetas	111950581	Kauno technologijos universitetas		H000	Humanitariniai mokslai	14	Trečiosios pakopos studijos	2
2012-2013	43	Kauno m. sav.	3912	Universitetas	111950581	Kauno technologijos universitetas		S000	Socialiniai mokslai	14	Trečiosios pakopos studijos	16
2012-2013	43	Kauno m. sav.	3912	Universitetas	111950581	Kauno technologijos universitetas		T000	Technologijos mokslai	14	Trečiosios pakopos studijos	53
2012-2013	43	Kauno m. sav.	3912	Universitetas	111950581	Kauno technologijos universitetas	Socialinių mokslų studijų sritis			22	Profesinės studijos (pedagogikos)	74
2012-2013	43	Kauno m. sav.	3912	Universitetas	111951530	Lietuvos kūno kultūros akademija	Biomedicinos mokslų studijų sritis			11	Pirmosios pakopos studijos	287
2012-2013	43	Kauno m. sav.	3912	Universitetas	111951530	Lietuvos kūno kultūros akademija	Socialinių mokslų studijų sritis			11	Pirmosios pakopos studijos	177
2012-2013	43	Kauno m. sav.	3912	Universitetas	111951530	Lietuvos kūno kultūros akademija	Biomedicinos mokslų studijų sritis			12	Antrosios pakopos studijos	58
2012-2013	43	Kauno m. sav.	3912	Universitetas	111951530	Lietuvos kūno kultūros akademija	Socialinių mokslų studijų sritis			12	Antrosios pakopos studijos	49
2012-2013	43	Kauno m. sav.	3912	Universitetas	111951530	Lietuvos kūno kultūros akademija		B000	Biomedicinos mokslai	14	Trečiosios pakopos studijos	5
2012-2013	43	Kauno m. sav.	3912	Universitetas	111951530	Lietuvos kūno kultūros akademija		S000	Socialiniai mokslai	14	Trečiosios pakopos studijos	5
2012-2013	43	Kauno m. sav.	3912	Universitetas	302536989	Lietuvos sveikatos mokslų universitetas	Biomedicinos mokslų studijų sritis			11	Pirmosios pakopos studijos	366
2012-2013	43	Kauno m. sav.	3912	Universitetas	302536989	Lietuvos sveikatos mokslų universitetas	Socialinių mokslų studijų sritis			11	Pirmosios pakopos studijos	42
2012-2013	43	Kauno m. sav.	3912	Universitetas	302536989	Lietuvos sveikatos mokslų universitetas	Biomedicinos mokslų studijų sritis			12	Antrosios pakopos studijos	255
2012-2013	43	Kauno m. sav.	3912	Universitetas	302536989	Lietuvos sveikatos mokslų universitetas	Socialinių mokslų studijų sritis			12	Antrosios pakopos studijos	11
2012-2013	43	Kauno m. sav.	3912	Universitetas	302536989	Lietuvos sveikatos mokslų universitetas	Biomedicinos mokslų studijų sritis			13	Vientisosios studijos	881
2012-2013	43	Kauno m. sav.	3912	Universitetas	302536989	Lietuvos sveikatos mokslų universitetas		B000	Biomedicinos mokslai	14	Trečiosios pakopos studijos	45
2012-2013	43	Kauno m. sav.	3912	Universitetas	302536989	Lietuvos sveikatos mokslų universitetas		A000	Žemės ūkio mokslai	14	Trečiosios pakopos studijos	9
2012-2013	43	Kauno m. sav.	3912	Universitetas	302536989	Lietuvos sveikatos mokslų universitetas	Biomedicinos mokslų studijų sritis			21	Profesinės studijos (rezidentūros)	259
2012-2013	43	Kauno m. sav.	3912	Universitetas	111950396	Vytauto Didžiojo universitetas	Biomedicinos mokslų studijų sritis			11	Pirmosios pakopos studijos	65
2012-2013	43	Kauno m. sav.	3912	Universitetas	111950396	Vytauto Didžiojo universitetas	Fizinių mokslų studijų sritis			11	Pirmosios pakopos studijos	112
2012-2013	43	Kauno m. sav.	3912	Universitetas	111950396	Vytauto Didžiojo universitetas	Humanitarinių mokslų studijų sritis			11	Pirmosios pakopos studijos	420
2012-2013	43	Kauno m. sav.	3912	Universitetas	111950396	Vytauto Didžiojo universitetas	Meno studijų sritis			11	Pirmosios pakopos studijos	67
2012-2013	43	Kauno m. sav.	3912	Universitetas	111950396	Vytauto Didžiojo universitetas	Socialinių mokslų studijų sritis			11	Pirmosios pakopos studijos	912
2012-2013	43	Kauno m. sav.	3912	Universitetas	111950396	Vytauto Didžiojo universitetas	Technologijos mokslų studijų sritis			11	Pirmosios pakopos studijos	67
2012-2013	43	Kauno m. sav.	3912	Universitetas	111950396	Vytauto Didžiojo universitetas	Biomedicinos mokslų studijų sritis			12	Antrosios pakopos studijos	43
2012-2013	43	Kauno m. sav.	3912	Universitetas	111950396	Vytauto Didžiojo universitetas	Fizinių mokslų studijų sritis			12	Antrosios pakopos studijos	39
2012-2013	43	Kauno m. sav.	3912	Universitetas	111950396	Vytauto Didžiojo universitetas	Humanitarinių mokslų studijų sritis			12	Antrosios pakopos studijos	116
2012-2013	43	Kauno m. sav.	3912	Universitetas	111950396	Vytauto Didžiojo universitetas	Meno studijų sritis			12	Antrosios pakopos studijos	12
2012-2013	43	Kauno m. sav.	3912	Universitetas	111950396	Vytauto Didžiojo universitetas	Socialinių mokslų studijų sritis			12	Antrosios pakopos studijos	395
2012-2013	43	Kauno m. sav.	3912	Universitetas	111950396	Vytauto Didžiojo universitetas	Socialinių mokslų studijų sritis			13	Vientisosios studijos	175
2012-2013	43	Kauno m. sav.	3912	Universitetas	111950396	Vytauto Didžiojo universitetas		B000	Biomedicinos mokslai	14	Trečiosios pakopos studijos	6
2012-2013	43	Kauno m. sav.	3912	Universitetas	111950396	Vytauto Didžiojo universitetas		P000	Fiziniai mokslai	14	Trečiosios pakopos studijos	4
2012-2013	43	Kauno m. sav.	3912	Universitetas	111950396	Vytauto Didžiojo universitetas		H000	Humanitariniai mokslai	14	Trečiosios pakopos studijos	20
2012-2013	43	Kauno m. sav.	3912	Universitetas	111950396	Vytauto Didžiojo universitetas		S000	Socialiniai mokslai	14	Trečiosios pakopos studijos	27
